,WAVELENGTH(nm),EQE(%),Integrated Jsc(mA/cm²),Jsc(mA/cm²)
0,300.0,-3.730710263,-2.3027357802771165e-07,6.3851
1,305.0,-1.547924738,-1.614603814618008e-05,
2,310.0,-7.393815683,-0.0002152240578320976,
3,315.0,-3.971589652,-0.0008919733801397033,
4,320.0,-1.999897442,-0.001513630002736169,
5,325.0,2.5471120469999997,-0.0014000494751244578,
6,330.0,10.43019747,0.002045977270918177,
7,335.0,14.226731299999999,0.009140390009078935,
8,340.0,13.36507808,0.017273775223065006,
9,345.0,14.69843209,0.026450141682463988,
10,350.0,16.34554834,0.03693671402774844,
11,355.0,17.41732877,0.05023255239704083,
12,360.0,17.35478496,0.06289133548876229,
13,365.0,17.44630812,0.07744178518688133,
14,370.0,17.43320352,0.09565690077621455,
15,375.0,16.98631999,0.11213074480612989,
16,380.0,17.53451049,0.13117341943496771,
17,385.0,17.64259593,0.14744842784967968,
18,390.0,17.91618032,0.1659338385207491,
19,395.0,18.02170798,0.18531204020187678,
20,400.0,18.15619996,0.20915197006322442,
21,405.0,18.61765694,0.2440128104623585,
22,410.0,18.91497058,0.2792076520180531,
23,415.0,19.06002917,0.3167330145884876,
24,420.0,19.07187646,0.35570557332059594,
25,425.0,18.99151447,0.39558667755494625,
26,430.0,18.5388037,0.43265174990845273,
27,435.0,17.8365342,0.4677533504288164,
28,440.0,17.65148967,0.5081894268823071,
29,445.0,16.83029485,0.5513407642829108,
30,450.0,16.63494351,0.5955690101357431,
31,455.0,15.93524499,0.6411545966724242,
32,460.0,15.48353784,0.6862129800583289,
33,465.0,15.04266206,0.7310140264171606,
34,470.0,14.896998199999999,0.7745619819028827,
35,475.0,14.70676527,0.8187003755825547,
36,480.0,14.51833459,0.8635379116286235,
37,485.0,14.46530622,0.908714320567025,
38,490.0,14.53990316,0.9502535792700898,
39,495.0,14.71186921,0.9957099106820406,
40,500.0,15.02049153,1.0425873198774083,
41,505.0,15.32534214,1.0891503912577107,
42,510.0,15.60957123,1.138803720883514,
43,515.0,16.04174623,1.1894497171425304,
44,520.0,16.49831986,1.238117837555009,
45,525.0,17.13420337,1.2928571194585534,
46,530.0,17.79720948,1.3491893856607455,
47,535.0,18.49897629,1.4094713070992628,
48,540.0,19.26352844,1.4728537427603183,
49,545.0,20.12748142,1.5383189171718632,
50,550.0,20.89624961,1.607846912086882,
51,555.0,21.82825569,1.6815188599172548,
52,560.0,22.81991678,1.7571086363720982,
53,565.0,23.73473716,1.837285253401561,
54,570.0,24.74438338,1.9201459341499494,
55,575.0,25.61571334,2.006860993818431,
56,580.0,26.50656399,2.0965676039394645,
57,585.0,27.24353706,2.1931683159324398,
58,590.0,27.92743039,2.287982299685642,
59,595.0,28.44303365,2.3850572398477143,
60,600.0,28.90638239,2.486306693640605,
61,605.0,29.47293818,2.590343417897897,
62,610.0,29.97452568,2.6982982498830617,
63,615.0,30.52301225,2.807262439057647,
64,620.0,31.1212276,2.918633099348303,
65,625.0,31.75331173,3.0318319236762497,
66,630.0,32.39923839,3.1456971026472758,
67,635.0,33.07885728,3.263913962259876,
68,640.0,33.5972039,3.3881650738858453,
69,645.0,33.92821407,3.5144136602607916,
70,650.0,33.90821066,3.6380108827717113,
71,655.0,33.6037217,3.762932797925831,
72,660.0,32.98976581,3.878997278313456,
73,665.0,32.24342061,4.000394948810488,
74,670.0,31.63993717,4.122565434050925,
75,675.0,31.19801279,4.242500978276121,
76,680.0,31.06339471,4.361711637088424,
77,685.0,31.20730475,4.480509137801383,
78,690.0,31.78033993,4.582421540715355,
79,695.0,32.66789595,4.6946678204761705,
80,700.0,33.64542408,4.815840004237831,
81,705.0,34.60161986,4.939924422548145,
82,710.0,35.30195335,5.070688865571104,
83,715.0,35.74477691,5.203467644374537,
84,720.0,35.56138102,5.315967323326361,
85,725.0,34.82024968,5.429529752079012,
86,730.0,33.71744458,5.536808634197652,
87,735.0,32.431929100000005,5.650640729534154,
88,740.0,31.17580998,5.765000071586153,
89,745.0,29.86599284,5.877479020520413,
90,750.0,28.25001088,5.986303768587352,
91,755.0,25.92299521,6.087653444712091,
92,760.0,22.61970061,6.171479363488889,
93,765.0,18.50522598,6.199283999236526,
94,770.0,14.10667672,6.248670915483763,
95,775.0,10.06061873,6.292831604871565,
96,780.0,6.804583017000001,6.32387405395459,
97,785.0,4.380955143,6.344355344515679,
98,790.0,2.768636724,6.357287719294087,
99,795.0,1.741263326,6.36518206829182,
100,800.0,1.194754333,6.370326848623958,
101,805.0,0.696388637,6.373619183986444,
102,810.0,0.533745425,6.375773244561389,
103,815.0,0.38723172299999997,6.377280115422065,
104,820.0,0.248671167,6.378178262837559,
105,825.0,0.207486525,6.378855357497867,
106,830.0,0.176493223,6.379450382533313,
107,835.0,0.15043046699999998,6.37996214170928,
108,840.0,0.120151169,6.380417956205932,
109,845.0,0.126535279,6.380838200807647,
110,850.0,0.139641365,6.381287521058,
111,855.0,0.114158276,6.381694900367637,
112,860.0,0.064528093,6.3819966686831044,
113,865.0,0.07212859,6.382231260704395,
114,870.0,0.058862988,6.382443461291498,
115,875.0,0.042680090999999996,6.382613849881874,
116,880.0,0.035288768,6.382744367452422,
117,885.0,0.024993916,6.382843938845572,
118,890.0,0.040282818,6.3829516790724075,
119,895.0,0.045819222,6.383088671876778,
120,900.0,0.057174384,6.383217481454929,
121,905.0,0.09665017,6.383420707237941,
122,910.0,0.08185266299999999,6.383649461262737,
123,915.0,0.111290405,6.383881295982733,
124,920.0,0.076898402,6.38411315483233,
125,925.0,0.08594379699999999,6.384335616973544,
126,930.0,0.10373394,6.3845610205115095,
127,935.0,0.106086371,6.384674639871309,
128,940.0,0.029883677999999997,6.384733208649522,
129,945.0,0.040795368,6.384779985527258,
130,950.0,0.066655957,6.384845837752461,
131,955.0,0.071696387,6.384939766716122,
132,960.0,0.056354864000000005,6.385028861928108,
133,965.0,0.014205888,6.385091742586358,
134,970.0,0.061523963,6.38518165133916,
135,975.0,0.011464163000000001,6.385275439904001,
136,980.0,-0.011513458,6.385274970982119,
137,985.0,-0.022351847999999997,6.385228341852581,
138,990.0,-0.030544752999999997,6.385150669497252,
139,995.0,-0.045637837,6.385036638864585,
140,1000.0,0.030704575,6.385014014282841,
141,1005.0,0.014401348000000001,6.385080589811522,
142,1010.0,-0.020062897,6.38507197475716,
143,1015.0,-0.016058708999999997,6.385018974724501,
144,1020.0,-0.0007312210000000001,6.384994637935387,
145,1025.0,-0.013504266000000001,6.384974257471154,
146,1030.0,-0.010773712,6.3849394113475135,
147,1035.0,0.025260257999999997,6.384959908628866,
148,1040.0,0.009448106,6.3850090592056645,
149,1045.0,0.008039481999999999,6.385033654365113,
150,1050.0,0.031443837999999995,6.385088504712168,
151,1055.0,0.0036597820000000003,6.385137045842809,
152,1060.0,-0.015910408,6.385120560097012,
153,1065.0,-0.020724423999999998,6.385071257825117,
154,1070.0,0.049957369,6.385108899746404,
155,1075.0,-0.02252237,6.385145245980057,
156,1080.0,-0.027489486,6.385079587045492,
157,1085.0,0.0007618719999999999,6.385045273311051,
158,1090.0,0.071500229,6.385136271646641,
159,1095.0,-0.020455734,6.385200660953105,
160,1100.0,-0.068365589,6.385099227839981,
